Product,????????,????????????,????????????,First Quantity,????????????,Second Quantity,????????????,Value
08140000,??????????????????????????????????????????????????????????????????????????????????????,502,????,10134,????,0,?,"25,544"
09011100,????????????????????????,502,????,3792,????,0,?,"115,239"
09011200,????????????????????????,502,????,560,????,0,?,"29,290"
09012100,????????????????????????,502,????,807208,????,0,?,"9,708,209"
09012200,????????????????????????,502,????,81220,????,0,?,"937,318"
09019010,??????????????????,502,????,914,????,0,?,"15,976"
09019020,??????????????????,502,????,783,????,0,?,"17,045"
09021010,??????????????????????3kg,502,????,2927,????,0,?,"81,244"
09021090,??????????????????????3kg,502,????,2376,????,0,?,"131,150"
09022090,??????????????????????3kg,502,????,50,????,0,?,510
09023010,????????????????????????3kg,502,????,20,????,0,?,"1,430"
09023090,????????????????????????????????????3kg,502,????,2145,????,0,?,"158,728"
09024090,????????????????????????????????????3kg,502,????,809,????,0,?,"12,939"
09041100,????????,502,????,10,????,0,?,377
09041200,????????,502,????,10587,????,0,?,"20,339"
09042100,????????????,502,????,5,????,0,?,20
09042200,??????????,502,????,16677,????,0,?,"46,328"
09061100,??????????????,502,????,7,????,0,?,185
09062000,??????????????????,502,????,12797,????,0,?,"16,506"
09081100,????????????,502,????,10,????,0,?,28
09092100,????????????,502,????,8478,????,0,?,"10,937"
09096190,????????????????????????????????????????,502,????,4431,????,0,?,"5,715"
09096290,????????????????????????????????????????,502,????,9505,????,0,?,"16,026"
09101100,????????,502,????,14,????,0,?,168
09101200,????????,502,????,9147,????,0,?,"14,286"
09103000,????,502,????,10,????,0,?,9
09109100,????????????????????????????????,502,????,6020,????,0,?,"10,247"
09109900,??????????????,502,????,141663,????,0,?,"259,937"
10011900,????????????,502,????,415285173,????,0,?,"131,021,896"
10019900,??????????????????????????,502,????,187563397,????,0,?,"54,022,662"
10039000,????????,502,????,562510,????,0,?,"149,669"
10041000,????????,502,????,498960,????,0,?,"320,084"
10049000,????????,502,????,61,????,0,?,843
10051000,????????,502,????,140,????,0,?,350
10059000,??????????????,502,????,461788931,????,0,?,"120,886,801"
10071000,????????????,502,????,499,????,0,?,"3,637"
10079000,????????????,502,????,8965642591,????,0,?,"2,471,467,675"
11010000,??????????????????,502,????,29649,????,0,?,"23,738"
11022000,????????,502,????,1313224,????,0,?,"869,062"
11029019,????????????,502,????,23598,????,0,?,"248,651"
11029090,??????????????,502,????,1354,????,0,?,"18,323"
11031100,??????????????,502,????,144,????,0,?,571
11041200,????????????????,502,????,225193,????,0,?,"316,625"
11042200,????????????????,502,????,7933,????,0,?,"22,225"
11042990,??????????????????????,502,????,51522,????,0,?,"78,299"
11043000,????????????????????????????????,502,????,466,????,0,?,"1,784"
11051000,??????????????????????,502,????,4638776,????,0,?,"7,882,211"
11052000,??????????????????????,502,????,1289051,????,0,?,"2,394,120"
11061000,????0713??????????????????????,502,????,8739649,????,0,?,"2,987,025"
11063000,??8????????????????????????,502,????,67602,????,0,?,"4,096,601"
11071000,????????????,502,????,3651,????,0,?,"5,825"
11072000,????????????,502,????,8241,????,0,?,"18,040"
11081100,????????,502,????,125,????,0,?,"3,426"
11081200,????????,502,????,1137841,????,0,?,"1,079,999"
11081300,??????????,502,????,3003397,????,0,?,"2,738,540"
11081400,????????,502,????,43,????,0,?,190
11081900,??????????,502,????,18,????,0,?,760
11082000,????,502,????,9,????,0,?,816
11090000,??????????????????,502,????,31579,????,0,?,"119,878"
12019010,????????????????,502,????,28412523722,????,0,?,"12,408,986,041"
12019020,????????????????,502,????,560000,????,0,?,"539,119"
12024100,????????????????????????,502,????,14930133,????,0,?,"7,963,074"
12024200,??????????????????????????,502,????,8460560,????,0,?,"8,655,297"
12040000,????????????????????,502,????,7070686,????,0,?,"3,886,296"
12051010,??????????????????,502,????,25,????,0,?,211
12060010,??????????,502,????,1131378,????,0,?,"10,841,895"
12060090,??????????,502,????,19505,????,0,?,"49,450"
12077010,??????????,502,????,675,????,0,?,"67,891"
12079999,????????????????????,502,????,47,????,0,?,757
12081000,??????,502,????,24515,????,0,?,"49,050"
12089000,????????????????????????????????????????,502,????,3392,????,0,?,"41,717"
12092100,????????,502,????,359958,????,0,?,"2,153,139"
12092200,????????,502,????,269313,????,0,?,"1,237,413"
12092300,??????,502,????,10690791,????,0,?,"21,456,592"
12092400,????????????,502,????,3650503,????,0,?,"15,959,845"
